"Campaign","Ad group","Keyword","Keyword match type","Criterion status"
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","nutricionista taubate","Exact",""
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","nutricionista esportivo taubate","Exact",""
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","nutricionista jardim das nacoes taubate","Exact",""
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","nutricionista esportivo jardim das nacoes","Exact",""
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","nutricionista particular taubate","Exact",""
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","nutricionista esportivo","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","nutricionista em taubate","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","nutricionista jardim das nacoes","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","nutricionista particular taubate","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","nutricao esportiva taubate","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","nutricionista para corrida","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","nutricao esportiva para executivos","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","plano alimentar personalizado","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","avaliacao nutricional","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","recomposicao corporal","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","bioimpedancia","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","Taubate / Jd. das Nacoes","consulta nutricionista","Phrase",""
